advertiser,election,topic,spend_week,spend_month,spend
MU ACTION PAC,REGION-4-GOV,Abortion,2024_10/15-10/21,2024_10,1139.8708
ZETA FORWARD FUND,REGION-3-HSE,Immigration,2024_09/24-09/30,2024_09,21.3854
DELTA COALITION,REGION-3-HSE,Climate & Energy,2024_10/01-10/06,2024_10,
ETA PROGRESS PAC,REGION-1-GOV,Healthcare,2024_10/22-10/28,2024_10,224.1002
ALPHA COMMITTEE,REGION-1-GOV,Education,2024_10/15-10/21,2024_10,17462.6969
ZETA FORWARD FUND,REGION-1-GOV,Immigration,2024_09/10-09/16,2024_09,75.03
PI ACTION GROUP,NATIONAL-PRES,Abortion,2024_09/10-09/16,2024_09,40468.8766
LAMBDA POLICY FUND,REGION-3-HSE,Immigration,2024_10/29-11/04,2024_11,2699.4138
ETA PROGRESS PAC,REGION-4-GOV,Climate & Energy,2024_09/24-09/30,2024_09,95.3063
UPSILON ACTION PAC,REGION-1-GOV,Education,2024_09/03-09/09,2024_09,869.8448
ALPHA COMMITTEE,NATIONAL-PRES,Gun Policy,2024_10/01-10/06,2024_10,62931.3625
DELTA COALITION,REGION-3-HSE,Gun Policy,2024_09/24-09/30,2024_09,178.2189
ALPHA COMMITTEE,REGION-3-HSE,Healthcare,2024_09/24-09/30,2024_09,250000
TAU COMMITTEE,REGION-2-SEN,Healthcare,2024_10/01-10/06,2024_10,184.3207
ZETA FORWARD FUND,NATIONAL-PRES,Criminal Justice,2024_11/05-11/11,2024_11,95.3677
SIGMA FORWARD FUND,REGION-3-HSE,Climate & Energy,2024_09/17-09/23,2024_09,6166.7687
THETA ACTION COMMITTEE,REGION-2-SEN,Healthcare,2024_11/05-11/11,2024_11,48118.3078
IOTA CITIZENS PAC,REGION-2-SEN,Healthcare,2024_10/07-10/13,2024_10,808.059
BETA ACTION PAC,NATIONAL-PRES,Economy & Labor,2024_10/15-10/21,2024_10,267.5699
SIGMA FORWARD FUND,REGION-2-SEN,Abortion,2024_09/17-09/23,2024_09,130.7071
PI ACTION GROUP,NATIONAL-PRES,Climate & Energy,2024_09/03-09/09,2024_09,
NU COALITION,REGION-2-SEN,Healthcare,2024_09/24-09/30,2024_09,142.762
ZETA FORWARD FUND,REGION-2-SEN,Education,2024_10/29-11/04,2024_11,71618.8587
XI PROGRESS COMMITTEE,REGION-2-SEN,Economy & Labor,2024_09/24-09/30,2024_09,23473.6271
UPSILON ACTION PAC,REGION-2-SEN,Immigration,2024_11/05-11/11,2024_11,9551.24
SIGMA FORWARD FUND,REGION-4-GOV,Gun Policy,2024_10/01-10/06,2024_10,2198.6453
THETA ACTION COMMITTEE,REGION-2-SEN,Immigration,2024_10/15-10/21,2024_10,41.3727
LAMBDA POLICY FUND,REGION-1-GOV,Criminal Justice,2024_09/17-09/23,2024_09,891.7154
UPSILON ACTION PAC,REGION-3-HSE,Immigration,2024_10/29-11/04,2024_11,183686.93
KAPPA FORWARD GROUP,REGION-3-HSE,Climate & Energy,2024_09/17-09/23,2024_09,29.457
UPSILON ACTION PAC,REGION-3-HSE,Criminal Justice,2024_09/17-09/23,2024_09,47379.8116
MU ACTION PAC,REGION-4-GOV,Healthcare,2024_11/12-11/18,2024_11,40970.9321
EPSILON GROUP PAC,REGION-1-GOV,Climate & Energy,2024_10/22-10/28,2024_10,2543.0393
RHO VOTERS PAC,REGION-3-HSE,Immigration,2024_09/17-09/23,2024_09,13827.235
DELTA COALITION,REGION-3-HSE,Gun Policy,2024_09/17-09/23,2024_09,43.5357
SIGMA FORWARD FUND,REGION-2-SEN,Criminal Justice,2024_09/10-09/16,2024_09,1842.4245
EPSILON GROUP PAC,REGION-2-SEN,Climate & Energy,2024_10/29-11/04,2024_11,
RHO VOTERS PAC,REGION-3-HSE,Education,2024_11/12-11/18,2024_11,2.5
MU ACTION PAC,REGION-4-GOV,Healthcare,2024_09/03-09/09,2024_09,11.2851
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/15-10/21,2024_10,1682.4797
SIGMA FORWARD FUND,REGION-3-HSE,Abortion,2024_09/17-09/23,2024_09,
ALPHA COMMITTEE,REGION-1-GOV,Healthcare,2024_09/17-09/23,2024_09,3069.1326
GAMMA VOTERS FUND,NATIONAL-PRES,Education,2024_10/01-10/06,2024_10,2232.4813
LAMBDA POLICY FUND,NATIONAL-PRES,Climate & Energy,2024_10/29-11/04,2024_11,10421.1479
UPSILON ACTION PAC,REGION-1-GOV,Climate & Energy,2024_10/29-11/04,2024_11,84.0038
DELTA COALITION,REGION-3-HSE,Economy & Labor,2024_11/12-11/18,2024_11,250000
KAPPA FORWARD GROUP,REGION-1-GOV,Climate & Energy,2024_09/03-09/09,2024_09,3048.3802
UPSILON ACTION PAC,REGION-3-HSE,Climate & Energy,2024_11/05-11/11,2024_11,18.1646
MU ACTION PAC,REGION-3-HSE,Abortion,2024_11/05-11/11,2024_11,395.4082
NU COALITION,REGION-3-HSE,Criminal Justice,2024_09/24-09/30,2024_09,3.8674
SIGMA FORWARD FUND,REGION-4-GOV,Gun Policy,2024_09/10-09/16,2024_09,337.6971
PI ACTION GROUP,REGION-3-HSE,Criminal Justice,2024_11/05-11/11,2024_11,3280.9378
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/15-10/21,2024_10,9.8164
ETA PROGRESS PAC,REGION-2-SEN,Education,2024_09/10-09/16,2024_09,1206.8427
DELTA COALITION,REGION-2-SEN,Abortion,2024_10/15-10/21,2024_10,8933.1362
ALPHA COMMITTEE,NATIONAL-PRES,Education,2024_11/12-11/18,2024_11,3305.7182
DELTA COALITION,REGION-4-GOV,Abortion,2024_11/05-11/11,2024_11,285.1317
PI ACTION GROUP,REGION-2-SEN,Immigration,2024_11/12-11/18,2024_11,418.9924
XI PROGRESS COMMITTEE,NATIONAL-PRES,Immigration,2024_10/15-10/21,2024_10,250000
MU ACTION PAC,REGION-2-SEN,Immigration,2024_10/01-10/06,2024_10,1139.259
ALPHA COMMITTEE,REGION-4-GOV,Abortion,2024_11/12-11/18,2024_11,3991.8022
ZETA FORWARD FUND,REGION-4-GOV,Immigration,2024_10/22-10/28,2024_10,59639.6157
IOTA CITIZENS PAC,NATIONAL-PRES,Gun Policy,2024_10/15-10/21,2024_10,313.7721
XI PROGRESS COMMITTEE,REGION-3-HSE,Climate & Energy,2024_10/15-10/21,2024_10,
PI ACTION GROUP,NATIONAL-PRES,Gun Policy,2024_09/03-09/09,2024_09,23.572
RHO VOTERS PAC,REGION-2-SEN,Gun Policy,2024_09/10-09/16,2024_09,358.5918
MU ACTION PAC,REGION-3-HSE,Immigration,2024_11/05-11/11,2024_11,8379.942
BETA ACTION PAC,REGION-4-GOV,Abortion,2024_10/07-10/13,2024_10,2.5
DELTA COALITION,NATIONAL-PRES,Gun Policy,2024_10/22-10/28,2024_10,54.4989
XI PROGRESS COMMITTEE,REGION-1-GOV,Economy & Labor,2024_11/12-11/18,2024_11,55.7359
EPSILON GROUP PAC,NATIONAL-PRES,Criminal Justice,2024_11/05-11/11,2024_11,214.2624
UPSILON ACTION PAC,REGION-2-SEN,Criminal Justice,2024_11/05-11/11,2024_11,81.2062
TAU COMMITTEE,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,8563.1609
MU ACTION PAC,REGION-3-HSE,Criminal Justice,2024_09/10-09/16,2024_09,1290.4385
MU ACTION PAC,REGION-2-SEN,Criminal Justice,2024_10/01-10/06,2024_10,1530.8184
SIGMA FORWARD FUND,REGION-1-GOV,Economy & Labor,2024_09/10-09/16,2024_09,2.5
ZETA FORWARD FUND,REGION-4-GOV,Abortion,2024_10/01-10/06,2024_10,
THETA ACTION COMMITTEE,REGION-1-GOV,Healthcare,2024_11/12-11/18,2024_11,13.544
BETA ACTION PAC,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,55120.3635
ALPHA COMMITTEE,REGION-3-HSE,Climate & Energy,2024_09/24-09/30,2024_09,22989.1744
DELTA COALITION,REGION-2-SEN,Criminal Justice,2024_10/29-11/04,2024_11,132.4565
PI ACTION GROUP,REGION-3-HSE,Immigration,2024_10/15-10/21,2024_10,3925.1417
ZETA FORWARD FUND,REGION-3-HSE,Economy & Labor,2024_09/10-09/16,2024_09,188.4691
MU ACTION PAC,REGION-4-GOV,Healthcare,2024_09/10-09/16,2024_09,15556.5922
ZETA FORWARD FUND,REGION-2-SEN,Economy & Labor,2024_10/29-11/04,2024_11,557.0914
ZETA FORWARD FUND,REGION-4-GOV,Immigration,2024_10/15-10/21,2024_10,12.6107
OMICRON FUND,REGION-1-GOV,Gun Policy,2024_09/17-09/23,2024_09,
THETA ACTION COMMITTEE,REGION-3-HSE,Climate & Energy,2024_11/05-11/11,2024_11,13639.092
ALPHA COMMITTEE,REGION-1-GOV,Economy & Labor,2024_09/03-09/09,2024_09,2.7763
MU ACTION PAC,NATIONAL-PRES,Climate & Energy,2024_09/17-09/23,2024_09,191927.1393
SIGMA FORWARD FUND,NATIONAL-PRES,Healthcare,2024_09/17-09/23,2024_09,974.7577
SIGMA FORWARD FUND,REGION-2-SEN,Education,2024_09/24-09/30,2024_09,
KAPPA FORWARD GROUP,REGION-2-SEN,Criminal Justice,2024_09/10-09/16,2024_09,587.5346
ETA PROGRESS PAC,NATIONAL-PRES,Criminal Justice,2024_10/07-10/13,2024_10,2179.1609
RHO VOTERS PAC,NATIONAL-PRES,Abortion,2024_11/12-11/18,2024_11,249.4143
RHO VOTERS PAC,REGION-4-GOV,Education,2024_09/17-09/23,2024_09,1276.7179
ETA PROGRESS PAC,REGION-4-GOV,Healthcare,2024_09/10-09/16,2024_09,38604.4101
GAMMA VOTERS FUND,REGION-1-GOV,Gun Policy,2024_11/12-11/18,2024_11,61.3461
ALPHA COMMITTEE,REGION-3-HSE,Abortion,2024_10/22-10/28,2024_10,142.6559
ALPHA COMMITTEE,REGION-3-HSE,Abortion,2024_10/07-10/13,2024_10,4966.5524
RHO VOTERS PAC,REGION-1-GOV,Healthcare,2024_09/17-09/23,2024_09,5.3067
TAU COMMITTEE,REGION-2-SEN,Criminal Justice,2024_10/15-10/21,2024_10,91.8745
RHO VOTERS PAC,REGION-2-SEN,Climate & Energy,2024_09/03-09/09,2024_09,3263.4313
TAU COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_11/12-11/18,2024_11,3791.7442
BETA ACTION PAC,NATIONAL-PRES,Criminal Justice,2024_09/24-09/30,2024_09,78624.4091
TAU COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_09/03-09/09,2024_09,1054.8681
UPSILON ACTION PAC,NATIONAL-PRES,Education,2024_10/01-10/06,2024_10,2.5
MU ACTION PAC,REGION-1-GOV,Climate & Energy,2024_10/29-11/04,2024_11,58.6781
THETA ACTION COMMITTEE,REGION-3-HSE,Criminal Justice,2024_09/24-09/30,2024_09,3761.4517
NU COALITION,NATIONAL-PRES,Healthcare,2024_09/24-09/30,2024_09,2.5456
ZETA FORWARD FUND,REGION-1-GOV,Gun Policy,2024_10/22-10/28,2024_10,343.4291
ZETA FORWARD FUND,REGION-4-GOV,Criminal Justice,2024_10/15-10/21,2024_10,17688.1679
MU ACTION PAC,REGION-1-GOV,Healthcare,2024_09/17-09/23,2024_09,314.2844
NU COALITION,REGION-2-SEN,Climate & Energy,2024_10/15-10/21,2024_10,55.5777
NU COALITION,REGION-2-SEN,Abortion,2024_09/10-09/16,2024_09,947.8042
PI ACTION GROUP,REGION-4-GOV,Climate & Energy,2024_11/12-11/18,2024_11,6433.7978
EPSILON GROUP PAC,REGION-2-SEN,Abortion,2024_10/07-10/13,2024_10,23.5607
MU ACTION PAC,REGION-4-GOV,Immigration,2024_10/22-10/28,2024_10,3969.9404
UPSILON ACTION PAC,REGION-2-SEN,Gun Policy,2024_09/03-09/09,2024_09,263.2101
XI PROGRESS COMMITTEE,REGION-2-SEN,Gun Policy,2024_10/07-10/13,2024_10,109534.3177
RHO VOTERS PAC,REGION-2-SEN,Education,2024_09/24-09/30,2024_09,24.1993
MU ACTION PAC,REGION-3-HSE,Abortion,2024_10/29-11/04,2024_11,234925.6353
DELTA COALITION,REGION-1-GOV,Abortion,2024_10/07-10/13,2024_10,
ETA PROGRESS PAC,REGION-4-GOV,Criminal Justice,2024_10/29-11/04,2024_11,10.62
SIGMA FORWARD FUND,REGION-3-HSE,Economy & Labor,2024_10/29-11/04,2024_11,15.9226
LAMBDA POLICY FUND,REGION-1-GOV,Economy & Labor,2024_09/10-09/16,2024_09,
BETA ACTION PAC,REGION-2-SEN,Climate & Energy,2024_10/01-10/06,2024_10,3.8857
RHO VOTERS PAC,REGION-1-GOV,Economy & Labor,2024_10/22-10/28,2024_10,54.9455
PI ACTION GROUP,REGION-1-GOV,Abortion,2024_09/17-09/23,2024_09,494.6734
OMICRON FUND,NATIONAL-PRES,Immigration,2024_11/05-11/11,2024_11,39.1044
EPSILON GROUP PAC,REGION-2-SEN,Criminal Justice,2024_10/29-11/04,2024_11,46003.4872
BETA ACTION PAC,NATIONAL-PRES,Education,2024_10/29-11/04,2024_11,198942.2559
LAMBDA POLICY FUND,REGION-3-HSE,Economy & Labor,2024_10/01-10/06,2024_10,56336.2271
UPSILON ACTION PAC,REGION-2-SEN,Gun Policy,2024_10/22-10/28,2024_10,
GAMMA VOTERS FUND,REGION-4-GOV,Healthcare,2024_11/05-11/11,2024_11,
OMICRON FUND,REGION-3-HSE,Abortion,2024_10/22-10/28,2024_10,101.6294
EPSILON GROUP PAC,REGION-2-SEN,Abortion,2024_10/22-10/28,2024_10,2196.9493
IOTA CITIZENS PAC,REGION-1-GOV,Criminal Justice,2024_10/15-10/21,2024_10,351.613
LAMBDA POLICY FUND,REGION-1-GOV,Economy & Labor,2024_09/17-09/23,2024_09,5087.611
RHO VOTERS PAC,NATIONAL-PRES,Healthcare,2024_10/29-11/04,2024_11,137.3907
MU ACTION PAC,REGION-3-HSE,Gun Policy,2024_10/07-10/13,2024_10,36694.5951
ZETA FORWARD FUND,REGION-4-GOV,Abortion,2024_11/12-11/18,2024_11,38.5458
ZETA FORWARD FUND,REGION-4-GOV,Economy & Labor,2024_10/29-11/04,2024_11,2.5
NU COALITION,REGION-2-SEN,Criminal Justice,2024_09/03-09/09,2024_09,107.7555
EPSILON GROUP PAC,REGION-2-SEN,Climate & Energy,2024_09/03-09/09,2024_09,3537.8283
SIGMA FORWARD FUND,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,52.6623
EPSILON GROUP PAC,NATIONAL-PRES,Education,2024_10/07-10/13,2024_10,267.1044
THETA ACTION COMMITTEE,REGION-4-GOV,Healthcare,2024_09/17-09/23,2024_09,303.0563
ALPHA COMMITTEE,REGION-2-SEN,Education,2024_11/12-11/18,2024_11,7208.1307
ALPHA COMMITTEE,REGION-1-GOV,Healthcare,2024_09/10-09/16,2024_09,16721.1388
GAMMA VOTERS FUND,REGION-3-HSE,Abortion,2024_09/24-09/30,2024_09,2172.1937
MU ACTION PAC,NATIONAL-PRES,Education,2024_10/01-10/06,2024_10,596.8906
RHO VOTERS PAC,NATIONAL-PRES,Economy & Labor,2024_10/07-10/13,2024_10,81668.0342
MU ACTION PAC,REGION-3-HSE,Gun Policy,2024_10/07-10/13,2024_10,15.7687
XI PROGRESS COMMITTEE,REGION-4-GOV,Climate & Energy,2024_11/12-11/18,2024_11,70.2053
ALPHA COMMITTEE,REGION-4-GOV,Economy & Labor,2024_11/05-11/11,2024_11,
ALPHA COMMITTEE,REGION-2-SEN,Healthcare,2024_10/15-10/21,2024_10,1572.1777
THETA ACTION COMMITTEE,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,
NU COALITION,REGION-4-GOV,Immigration,2024_10/07-10/13,2024_10,
SIGMA FORWARD FUND,REGION-4-GOV,Education,2024_10/01-10/06,2024_10,
KAPPA FORWARD GROUP,REGION-3-HSE,Immigration,2024_10/22-10/28,2024_10,874.0311
TAU COMMITTEE,REGION-4-GOV,Criminal Justice,2024_09/17-09/23,2024_09,14053.524
OMICRON FUND,REGION-2-SEN,Gun Policy,2024_10/22-10/28,2024_10,13.6427
PI ACTION GROUP,REGION-2-SEN,Abortion,2024_10/01-10/06,2024_10,
ZETA FORWARD FUND,REGION-3-HSE,Gun Policy,2024_10/15-10/21,2024_10,116.1748
XI PROGRESS COMMITTEE,REGION-3-HSE,Education,2024_09/24-09/30,2024_09,32.3818
DELTA COALITION,REGION-1-GOV,Abortion,2024_09/17-09/23,2024_09,3745.9681
IOTA CITIZENS PAC,NATIONAL-PRES,Criminal Justice,2024_10/15-10/21,2024_10,1789.3374
PI ACTION GROUP,REGION-4-GOV,Healthcare,2024_10/15-10/21,2024_10,14.4248
BETA ACTION PAC,REGION-1-GOV,Economy & Labor,2024_11/12-11/18,2024_11,141.5315
SIGMA FORWARD FUND,REGION-1-GOV,Immigration,2024_09/17-09/23,2024_09,187.0668
XI PROGRESS COMMITTEE,REGION-2-SEN,Immigration,2024_09/24-09/30,2024_09,201926.8073
TAU COMMITTEE,REGION-3-HSE,Criminal Justice,2024_09/10-09/16,2024_09,179.9298
EPSILON GROUP PAC,REGION-1-GOV,Economy & Labor,2024_10/01-10/06,2024_10,250000
BETA ACTION PAC,REGION-1-GOV,Economy & Labor,2024_10/22-10/28,2024_10,2290.6215
MU ACTION PAC,NATIONAL-PRES,Gun Policy,2024_10/29-11/04,2024_11,1976.5891
LAMBDA POLICY FUND,REGION-1-GOV,Healthcare,2024_09/17-09/23,2024_09,5350.2902
EPSILON GROUP PAC,NATIONAL-PRES,Healthcare,2024_10/07-10/13,2024_10,3900.4164
BETA ACTION PAC,NATIONAL-PRES,Healthcare,2024_11/05-11/11,2024_11,12488.046
NU COALITION,NATIONAL-PRES,Economy & Labor,2024_09/03-09/09,2024_09,416.4126
OMICRON FUND,REGION-1-GOV,Education,2024_09/17-09/23,2024_09,815.0331
LAMBDA POLICY FUND,REGION-3-HSE,Gun Policy,2024_10/01-10/06,2024_10,
XI PROGRESS COMMITTEE,REGION-2-SEN,Immigration,2024_11/05-11/11,2024_11,3017.7834
OMICRON FUND,REGION-3-HSE,Healthcare,2024_09/10-09/16,2024_09,4684.9756
DELTA COALITION,REGION-2-SEN,Criminal Justice,2024_09/03-09/09,2024_09,2152.5593
MU ACTION PAC,REGION-1-GOV,Healthcare,2024_09/24-09/30,2024_09,87.6599
OMICRON FUND,REGION-3-HSE,Criminal Justice,2024_09/17-09/23,2024_09,35.3779
ALPHA COMMITTEE,REGION-2-SEN,Gun Policy,2024_10/29-11/04,2024_11,867.3229
IOTA CITIZENS PAC,REGION-3-HSE,Immigration,2024_11/05-11/11,2024_11,19.2189
ALPHA COMMITTEE,REGION-3-HSE,Immigration,2024_09/24-09/30,2024_09,13868.2238
ETA PROGRESS PAC,REGION-1-GOV,Immigration,2024_10/22-10/28,2024_10,56040.3937
LAMBDA POLICY FUND,REGION-1-GOV,Climate & Energy,2024_10/29-11/04,2024_11,4304.4534
THETA ACTION COMMITTEE,REGION-4-GOV,Economy & Labor,2024_10/15-10/21,2024_10,611.4265
ZETA FORWARD FUND,REGION-4-GOV,Economy & Labor,2024_10/29-11/04,2024_11,1243.291
ALPHA COMMITTEE,REGION-3-HSE,Healthcare,2024_09/10-09/16,2024_09,57.1461
EPSILON GROUP PAC,REGION-2-SEN,Education,2024_11/05-11/11,2024_11,291.9188
OMICRON FUND,REGION-1-GOV,Abortion,2024_09/24-09/30,2024_09,1015.6975
ETA PROGRESS PAC,NATIONAL-PRES,Abortion,2024_11/05-11/11,2024_11,75.187
RHO VOTERS PAC,REGION-1-GOV,Abortion,2024_09/24-09/30,2024_09,112.9698
IOTA CITIZENS PAC,REGION-3-HSE,Criminal Justice,2024_10/29-11/04,2024_11,7054.2151
IOTA CITIZENS PAC,NATIONAL-PRES,Healthcare,2024_10/29-11/04,2024_11,346.0849
EPSILON GROUP PAC,REGION-1-GOV,Education,2024_11/12-11/18,2024_11,
LAMBDA POLICY FUND,REGION-3-HSE,Abortion,2024_10/01-10/06,2024_10,4410.0548
MU ACTION PAC,REGION-4-GOV,Criminal Justice,2024_09/17-09/23,2024_09,
EPSILON GROUP PAC,REGION-1-GOV,Education,2024_11/12-11/18,2024_11,347.505
DELTA COALITION,REGION-2-SEN,Immigration,2024_10/07-10/13,2024_10,239.9488
ALPHA COMMITTEE,REGION-4-GOV,Abortion,2024_10/29-11/04,2024_11,217.5006
OMICRON FUND,REGION-3-HSE,Education,2024_10/29-11/04,2024_11,291.4839
ZETA FORWARD FUND,REGION-4-GOV,Education,2024_10/01-10/06,2024_10,2454.9702
EPSILON GROUP PAC,REGION-2-SEN,Immigration,2024_09/24-09/30,2024_09,35.2967
ZETA FORWARD FUND,REGION-2-SEN,Economy & Labor,2024_09/17-09/23,2024_09,107566.659
ETA PROGRESS PAC,REGION-4-GOV,Gun Policy,2024_10/15-10/21,2024_10,
RHO VOTERS PAC,REGION-3-HSE,Education,2024_09/10-09/16,2024_09,1583.7396
TAU COMMITTEE,NATIONAL-PRES,Abortion,2024_10/01-10/06,2024_10,21467.4549
OMICRON FUND,REGION-3-HSE,Criminal Justice,2024_09/03-09/09,2024_09,3314.8965
ETA PROGRESS PAC,REGION-1-GOV,Immigration,2024_10/15-10/21,2024_10,761.9014
EPSILON GROUP PAC,NATIONAL-PRES,Immigration,2024_09/03-09/09,2024_09,21.637
ALPHA COMMITTEE,REGION-3-HSE,Education,2024_10/15-10/21,2024_10,13885.8092
NU COALITION,REGION-1-GOV,Immigration,2024_10/22-10/28,2024_10,
ALPHA COMMITTEE,REGION-1-GOV,Immigration,2024_09/10-09/16,2024_09,
DELTA COALITION,REGION-2-SEN,Economy & Labor,2024_10/07-10/13,2024_10,1759.5691
PI ACTION GROUP,REGION-3-HSE,Economy & Labor,2024_11/05-11/11,2024_11,2811.6228
MU ACTION PAC,NATIONAL-PRES,Gun Policy,2024_09/03-09/09,2024_09,221.6893
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/22-10/28,2024_10,34.0737
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/22-10/28,2024_10,4136.4278
SIGMA FORWARD FUND,REGION-3-HSE,Economy & Labor,2024_10/01-10/06,2024_10,
ETA PROGRESS PAC,REGION-4-GOV,Abortion,2024_11/05-11/11,2024_11,42462.9775
ZETA FORWARD FUND,REGION-3-HSE,Abortion,2024_10/22-10/28,2024_10,
GAMMA VOTERS FUND,REGION-3-HSE,Education,2024_10/22-10/28,2024_10,919.4198
PI ACTION GROUP,REGION-3-HSE,Healthcare,2024_10/15-10/21,2024_10,120772.8305
OMICRON FUND,REGION-3-HSE,Climate & Energy,2024_11/12-11/18,2024_11,
EPSILON GROUP PAC,REGION-3-HSE,Gun Policy,2024_11/05-11/11,2024_11,3.0722
SIGMA FORWARD FUND,REGION-3-HSE,Climate & Energy,2024_09/10-09/16,2024_09,27.9927
RHO VOTERS PAC,REGION-4-GOV,Education,2024_09/17-09/23,2024_09,226697.6829
EPSILON GROUP PAC,NATIONAL-PRES,Gun Policy,2024_09/03-09/09,2024_09,1849.8214
TAU COMMITTEE,REGION-3-HSE,Immigration,2024_09/24-09/30,2024_09,48.6086
UPSILON ACTION PAC,REGION-3-HSE,Abortion,2024_10/15-10/21,2024_10,1009.2836
BETA ACTION PAC,REGION-3-HSE,Healthcare,2024_10/22-10/28,2024_10,97.7102
BETA ACTION PAC,NATIONAL-PRES,Healthcare,2024_10/01-10/06,2024_10,870.0114
BETA ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/29-11/04,2024_11,5570.2164
EPSILON GROUP PAC,REGION-2-SEN,Abortion,2024_10/01-10/06,2024_10,1154.3428
ETA PROGRESS PAC,NATIONAL-PRES,Economy & Labor,2024_11/12-11/18,2024_11,9072.0712
ZETA FORWARD FUND,REGION-4-GOV,Climate & Energy,2024_10/29-11/04,2024_11,9739.781
KAPPA FORWARD GROUP,REGION-3-HSE,Immigration,2024_11/12-11/18,2024_11,4996.8878
ALPHA COMMITTEE,REGION-2-SEN,Healthcare,2024_10/29-11/04,2024_11,32996.8319
ETA PROGRESS PAC,REGION-3-HSE,Economy & Labor,2024_10/22-10/28,2024_10,250000
OMICRON FUND,NATIONAL-PRES,Economy & Labor,2024_11/05-11/11,2024_11,71129.9931
ETA PROGRESS PAC,REGION-3-HSE,Abortion,2024_09/03-09/09,2024_09,39517.961
ZETA FORWARD FUND,REGION-4-GOV,Education,2024_10/15-10/21,2024_10,2.5
ALPHA COMMITTEE,REGION-1-GOV,Gun Policy,2024_09/10-09/16,2024_09,3.8163
IOTA CITIZENS PAC,REGION-1-GOV,Criminal Justice,2024_10/22-10/28,2024_10,168.8754
PI ACTION GROUP,REGION-2-SEN,Criminal Justice,2024_09/17-09/23,2024_09,319.3082
RHO VOTERS PAC,REGION-2-SEN,Immigration,2024_10/22-10/28,2024_10,128.3865
ETA PROGRESS PAC,REGION-2-SEN,Healthcare,2024_09/03-09/09,2024_09,
ZETA FORWARD FUND,REGION-4-GOV,Abortion,2024_10/01-10/06,2024_10,4004.8844
MU ACTION PAC,REGION-3-HSE,Climate & Energy,2024_09/17-09/23,2024_09,165.5499
KAPPA FORWARD GROUP,REGION-3-HSE,Healthcare,2024_10/07-10/13,2024_10,5699.2816
BETA ACTION PAC,REGION-1-GOV,Immigration,2024_11/12-11/18,2024_11,150.2344
THETA ACTION COMMITTEE,NATIONAL-PRES,Criminal Justice,2024_09/03-09/09,2024_09,5.3341
LAMBDA POLICY FUND,REGION-3-HSE,Criminal Justice,2024_09/24-09/30,2024_09,91627.5685
NU COALITION,REGION-4-GOV,Healthcare,2024_10/22-10/28,2024_10,
UPSILON ACTION PAC,REGION-4-GOV,Gun Policy,2024_10/15-10/21,2024_10,2644.3533
DELTA COALITION,REGION-3-HSE,Education,2024_11/05-11/11,2024_11,20.4239
UPSILON ACTION PAC,REGION-2-SEN,Climate & Energy,2024_10/22-10/28,2024_10,1316.1277
EPSILON GROUP PAC,NATIONAL-PRES,Education,2024_09/24-09/30,2024_09,
OMICRON FUND,REGION-2-SEN,Criminal Justice,2024_10/29-11/04,2024_11,2.5
DELTA COALITION,REGION-1-GOV,Criminal Justice,2024_09/10-09/16,2024_09,
UPSILON ACTION PAC,NATIONAL-PRES,Healthcare,2024_10/22-10/28,2024_10,218.504
MU ACTION PAC,REGION-4-GOV,Criminal Justice,2024_09/03-09/09,2024_09,1595.3648
RHO VOTERS PAC,REGION-1-GOV,Criminal Justice,2024_11/05-11/11,2024_11,12.5311
ALPHA COMMITTEE,REGION-3-HSE,Climate & Energy,2024_11/12-11/18,2024_11,64701.9858
IOTA CITIZENS PAC,NATIONAL-PRES,Abortion,2024_10/29-11/04,2024_11,5433.2997
SIGMA FORWARD FUND,REGION-4-GOV,Education,2024_09/17-09/23,2024_09,21.463
XI PROGRESS COMMITTEE,REGION-4-GOV,Climate & Energy,2024_11/05-11/11,2024_11,28622.9373
DELTA COALITION,REGION-1-GOV,Climate & Energy,2024_11/12-11/18,2024_11,87.6178
IOTA CITIZENS PAC,REGION-2-SEN,Immigration,2024_09/24-09/30,2024_09,146.5537
LAMBDA POLICY FUND,REGION-1-GOV,Climate & Energy,2024_10/22-10/28,2024_10,5.4848
ALPHA COMMITTEE,REGION-4-GOV,Economy & Labor,2024_09/17-09/23,2024_09,276.8544
XI PROGRESS COMMITTEE,REGION-2-SEN,Abortion,2024_10/15-10/21,2024_10,83.976
LAMBDA POLICY FUND,REGION-4-GOV,Abortion,2024_10/22-10/28,2024_10,1777.5064
KAPPA FORWARD GROUP,REGION-4-GOV,Healthcare,2024_09/10-09/16,2024_09,11788.567
MU ACTION PAC,REGION-2-SEN,Economy & Labor,2024_10/15-10/21,2024_10,181371.2426
